tanggal,judul,link
2021-10-09,Awas Hoaks: Bahaya Vaksin Pfizer Bagi Bayi yang Disusui,https://covid19.go.id/p/hoax-buster/awas-hoaks-bahaya-vaksin-pfizer-bagi-bayi-yang-disusui
2021-10-08,[SALAH] Covid-19 adalah Rencana Depopulasi Dunia,https://covid19.go.id/p/hoax-buster/salah-covid-19-adalah-rencana-depopulasi-dunia
2021-10-08,[SALAH] Video Jokowi Berjoget dan Kerumunan Tidak Patuh Prokes,https://covid19.go.id/p/hoax-buster/salah-video-jokowi-berjoget-dan-kerumunan-tidak-patuh-prokes
2021-10-08,Awas Hoaks: Mengonsumsi Antibiotik Dapat Menyembuhkan COVID-19,https://covid19.go.id/p/hoax-buster/awas-hoaks-mengonsumsi-antibiotik-dapat-menyembuhkan-covid-19
2021-10-07,"[SALAH] Sertifikat Vaksin Menjadi Syarat Pengisian BBM di SPBU Wilayah Trumon Raya, Aceh Selatan",https://covid19.go.id/p/hoax-buster/salah-sertifikat-vaksin-menjadi-syarat-pengisian-bbm-di-spbu-wilayah-trumon-raya-aceh-selatan
2021-10-06,[SALAH] Foto PM Singapura Mengantre Vaksin Covid-19,https://covid19.go.id/p/hoax-buster/salah-foto-pm-singapura-mengantre-vaksin-covid-19
2021-10-03,[SALAH] Aplikasi PeduliLindungi Dibuat dan Semua Data direkam oleh Singapura,https://covid19.go.id/p/hoax-buster/salah-aplikasi-pedulilindungi-dibuat-dan-semua-data-direkam-oleh-singapura
2021-10-03,[SALAH] Ketua MUI Memperbolehkan Merapatkan Shaf Shalat,https://covid19.go.id/p/hoax-buster/salah-ketua-mui-memperbolehkan-merapatkan-shaf-shalat
2021-10-01,[SALAH] WHO Merencanakan Modifikasi Genetik Manusia Melalui Vaksinasi,https://covid19.go.id/p/hoax-buster/salah-who-merencanakan-modifikasi-genetik-manusia-melalui-vaksinasi
2021-10-01,[SALAH] “Utsmaniy menjadi pelopor dalam penanganan wabah melalui vaksinasi”,https://covid19.go.id/p/hoax-buster/salah-utsmaniy-menjadi-pelopor-dalam-penanganan-wabah-melalui-vaksinasi
2021-09-30,[SALAH] Video “Rakyat Menang.. !! Pemerintah Rumania menutup semua pusat vaksin..!”,https://covid19.go.id/p/hoax-buster/salah-video-rakyat-menang-pemerintah-rumania-menutup-semua-pusat-vaksin
2021-09-30,[SALAH] Vaksin Covid-19 Dapat Mengubah Warna Darah,https://covid19.go.id/p/hoax-buster/salah-vaksin-covid-19-dapat-mengubah-warna-darah
2021-09-30,Awas Hoaks: Imbauan Menkes terkait Larangan Bepergian dan Berkumpul karena Adanya Varian Baru COVID-19,https://covid19.go.id/p/hoax-buster/awas-hoaks-imbauan-menkes-terkait-larangan-bepergian-dan-berkumpul-karena-adanya-varian-baru-covid-19
2021-09-28,[SALAH] Video Demo Menolak Wajib Vaksin di Brazil,https://covid19.go.id/p/hoax-buster/salah-video-demo-menolak-wajib-vaksin-di-brazil
2021-09-26,[SALAH] PPKM diperpanjang Bansos dihentikan,https://covid19.go.id/p/hoax-buster/salah-ppkm-diperpanjang-bansos-dihentikan
2021-09-25,Awas Hoaks: Tukul Sakit Pendarahan Otak karena Vaksin,https://covid19.go.id/p/hoax-buster/awas-hoaks-tukul-sakit-pendarahan-otak-karena-vaksin
2021-09-24,[SALAH] Pendaftaran Vaksin Nusantara melalui WhatsApp,https://covid19.go.id/p/hoax-buster/salah-pendaftaran-vaksin-nusantara-melalui-whatsapp
2021-09-22,[SALAH] Mengonsumsi Labu Kuning Dapat Menyembuhkan Covid-19,https://covid19.go.id/p/hoax-buster/salah-mengonsumsi-labu-kuning-dapat-menyembuhkan-covid-19
2021-09-22,Awas Hoaks: Tautan Subsidi Pulsa Rp250.000 dan Kuota 75 GB dari Kemendikbud untuk Periode Desember 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-tautan-subsidi-pulsa-rp250000-dan-kuota-75-gb-dari-kemendikbud-untuk-periode-desember-2021
2021-09-20,Awas Hoaks: Orang yang Berhalangan Vaksinasi Covid-19 Tidak Bisa Naik KRL,https://covid19.go.id/p/hoax-buster/awas-hoaks-orang-yang-berhalangan-vaksinasi-covid-19-tidak-bisa-naik-krl
2021-09-19,[SALAH] Panggilan Telepon Informasi Seputar Vaksinasi,https://covid19.go.id/p/hoax-buster/salah-panggilan-telepon-informasi-seputar-vaksinasi
2021-09-19,[SALAH] Mulai 1 Oktober Pasien Covid Tidak Ditanggung Kemenkes,https://covid19.go.id/p/hoax-buster/salah-mulai-1-oktober-pasien-covid-tidak-ditanggung-kemenkes
2021-09-15,"[SALAH] Dr. Ir. Sri Nurdiati, M.Sc: “Banyak orang nggak sadar pentingnya “ANTIBODI” stoknya harus selalu ada”",https://covid19.go.id/p/hoax-buster/salah-dr-ir-sri-nurdiati-msc-banyak-orang-nggak-sadar-pentingnya-antibodi-stoknya-harus-selalu-ada
2021-09-15,[SALAH] Gambar Bupati Lamongan Ajak Perantau untuk Pulang,https://covid19.go.id/p/hoax-buster/salah-gambar-bupati-lamongan-ajak-perantau-untuk-pulang
2021-09-15,[SALAH] Judul Berita ITV tentang Efek Samping Vaksin yang Membuat Wajah Menjadi Merah,https://covid19.go.id/p/hoax-buster/salah-judul-berita-itv-tentang-efek-samping-vaksin-yang-membuat-wajah-menjadi-merah
2021-09-15,Awas Hoaks: Aplikasi PeduliLindungi Buatan Singapura,https://covid19.go.id/p/hoax-buster/awas-hoaks-aplikasi-pedulilindungi-buatan-singapura
2021-09-14,[SALAH] Laboratorium Pfizer di Madrid Terbakar,https://covid19.go.id/p/hoax-buster/salah-laboratorium-pfizer-di-madrid-terbakar
2021-09-14,[SALAH] Artikel CNN dengan Judul “Healthy 40-year Old COVID Victim’s Last Words: I blame unvaccinated for this”,https://covid19.go.id/p/hoax-buster/salah-artikel-cnn-dengan-judul-healthy-40-year-old-covid-victims-last-words-i-blame-unvaccinated
2021-09-13,[SALAH] Tautan Subsidi Pulsa Rp250 Ribu dan Kuota 75 GB oleh Kemendikbud untuk Periode Desember,https://covid19.go.id/p/hoax-buster/salah-tautan-subsidi-pulsa-rp250-ribu-dan-kuota-75-gb-oleh-kemendikbud-untuk-periode-desember
2021-09-13,[SALAH] Mengunyah Cengkeh atau Kayu Manis Dapat Meningkatkan Kadar Oksigen,https://covid19.go.id/p/hoax-buster/salah-mengunyah-cengkeh-atau-kayu-manis-dapat-meningkatkan-kadar-oksigen
2021-09-12,[SALAH] Link Peduli Lindungi (pedulilindungia.com),https://covid19.go.id/p/hoax-buster/salah-link-peduli-lindungi-pedulilindungiacom
2021-09-10,Awas Hoaks: Situs Palsu Mengatasnamakan PeduliLindungi,https://covid19.go.id/p/hoax-buster/awas-hoaks-situs-palsu-mengatasnamakan-pedulilindungi
2021-09-10,[SALAH] Presiden Umumkan Bebas Masker & Kegiatan Masyarakat kembali Normal,https://covid19.go.id/p/hoax-buster/salah-presiden-umumkan-bebas-masker-kegiatan-masyarakat-kembali-normal
2021-09-08,[SALAH] Link Cek Bantuan per 10 September 2021 sebesar Rp600.000 bagi Pengguna E-KTP,https://covid19.go.id/p/hoax-buster/salah-link-cek-bantuan-10-september-2021-sebesar-rp600000-bagi-pengguna-e-ktp
2021-09-08,Awas Hoaks: Bill Gates Menolak Vaksinasi COVID-19 Untuk Anaknya,https://covid19.go.id/p/hoax-buster/awas-hoaks-bill-gates-menolak-vaksinasi-covid-19-untuk-anaknya
2021-09-06,Awas Hoaks: Mengunyah Cengkeh atau Kayu Manis dapat Meningkatkan Kadar Oksigen yang Sedang Menurun,https://covid19.go.id/p/hoax-buster/awas-hoaks-mengunyah-cengkeh-atau-kayu-manis-dapat-meningkatkan-kadar-oksigen-yang-sedang-menurun
2021-09-06,[SALAH] Pesan Berantai Tim Vaksinasi GSP Meminta Data Pribadi,https://covid19.go.id/p/hoax-buster/salah-pesan-berantai-tim-vaksinasi-gsp-meminta-data-pribadi
2021-09-06,[SALAH] Mencuci Hidung Dengan Garam Menghilangkan Virus Corona,https://covid19.go.id/p/hoax-buster/salah-mencuci-hidung-dengan-garam-menghilangkan-virus-corona
2021-09-04,Awas Hoaks: Video Siswa Lumpuh Usai Divaksinasi COVID-19,https://covid19.go.id/p/hoax-buster/awas-hoaks-video-siswa-lumpuh-usai-divaksinasi-covid-19
2021-09-04,[SALAH] Muammar Gaddafi Prediksi Covid-19,https://covid19.go.id/p/hoax-buster/salah-muammar-gaddafi-prediksi-covid-19
2021-09-03,[SALAH] Obat Covid-19 Molnulpiravir Mulai Beredar September Mendatang,https://covid19.go.id/p/hoax-buster/salah-obat-covid-19-molnulpiravir-mulai-beredar-september-mendatang
2021-08-31,[SALAH] “Madagaskar keluar dari WHO”,https://covid19.go.id/p/hoax-buster/salah-madagaskar-keluar-dari-who
2021-08-30,"[SALAH] Campuran Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Mengobati Covid-19",https://covid19.go.id/p/hoax-buster/salah-campuran-air-kelapa-muda-jeruk-nipis-garam-dan-madu-dapat-mengobati-covid-19
2021-08-28,Awas Hoaks: Varian Delta COVID-19 Berasal dari Radiasi Jaringan 5G,https://covid19.go.id/p/hoax-buster/awas-hoaks-varian-delta-covid-19-berasal-dari-radiasi-jaringan-5g
2021-08-27,[SALAH] Video Kota Prabumulih tanpa Korona,https://covid19.go.id/p/hoax-buster/salah-video-kota-prabumulih-tanpa-korona
2021-08-27,"[SALAH] Vaksin Corona Mengandung Babi, Dapat Mengubah DNA, dan Membuat Manusia Jadi Zombie",https://covid19.go.id/p/hoax-buster/salah-vaksin-corona-mengandung-babi-dapat-mengubah-dna-dan-membuat-manusia-jadi-zombie
2021-08-27,[SALAH] Penyelenggaraan Hajatan dan Hiburan sudah Diperbolehkan oleh Bupati Sukoharjo,https://covid19.go.id/p/hoax-buster/salah-penyelenggaraan-hajatan-dan-hiburan-sudah-diperbolehkan-oleh-bupati-sukoharjo
2021-08-24,[SALAH] Vaksin di Gedung Gradika Bakti ditujukan untuk 18-59 Tahun,https://covid19.go.id/p/hoax-buster/salah-vaksin-di-gedung-gradika-bakti-ditujukan-untuk-18-59-tahun
2021-08-23,[SALAH] Tautan Pengecekan Penerima BSU dari BPJS Ketenagakerjaan,https://covid19.go.id/p/hoax-buster/salah-tautan-pengecekan-penerima-bsu-dari-bpjs-ketenagakerjaan
2021-08-23,[SALAH] Pesan Berantai dari Ketua Satgas Covid-19 Dwiyono terkait Metode Menghirup Uap Air Panas untuk Membunuh Virus Corona,https://covid19.go.id/p/hoax-buster/salah-pesan-berantai-dari-ketua-satgas-covid-19-dwiyono-terkait-metode-menghirup-uap-air-panas-untuk-membunuh-virus-corona
2021-08-23,Awas Hoaks: WHO Temukan Vaksin COVID-19 Palsu dan Beredar di Indonesia,https://covid19.go.id/p/hoax-buster/awas-hoaks-who-temukan-vaksin-covid-19-palsu-dan-beredar-di-indonesia
2021-08-22,[SALAH] Video “Biang covid bill gates kena timpuk dari orang yg geram padanya”,https://covid19.go.id/p/hoax-buster/salah-video-biang-covid-bill-gates-kena-timpuk-dari-orang-yg-geram-padanya
2021-08-21,[SALAH] Kuota Gratis 150 GB dari Kemkominfo dalam Rangka Memperingati HUT RI ke-76,https://covid19.go.id/p/hoax-buster/salah-kuota-gratis-150-gb-dari-kemkominfo-dalam-rangka-memperingati-hut-ri-ke-76
2021-08-21,[SALAH] Hewan Mati Bergelimpangan karena Efek Radiasi 5G,https://covid19.go.id/p/hoax-buster/salah-hewan-mati-bergelimpangan-karena-efek-radiasi-5g
2021-08-20,[SALAH] Oseltamivir Obat Covid-19 Berbahaya dan Mematikan,https://covid19.go.id/p/hoax-buster/salah-oseltamivir-obat-covid-19-berbahaya-dan-mematikan
2021-08-20,[SALAH] Informasi Vaksin Dosis 1 dan 2 16 Agustus 2021 di RSAL dr. Ramelan Surabaya,https://covid19.go.id/p/hoax-buster/salah-informasi-vaksin-dosis-1-dan-2-16-agustus-2021-di-rsal-dr-ramelan-surabaya
2021-08-20,[SALAH] Sertifikat Vaksin Covid-19 Bukan Syarat Administrasi,https://covid19.go.id/p/hoax-buster/salah-sertifikat-vaksin-covid-19-bukan-syarat-administrasi
2021-08-19,[SALAH] “PPKM DILANJUTKAN SAMPAI HARI KIAMAT”,https://covid19.go.id/p/hoax-buster/salah-ppkm-dilanjutkan-sampai-hari-kiamat
2021-08-19,[SALAH] Pernyataan Dr. Ir. Hj. Sri Nurdiati “Panik karena masker sampai lupa Pentingnya Antibodi”,https://covid19.go.id/p/hoax-buster/salah-pernyataan-dr-ir-hj-sri-nurdiati-panik-karena-masker-sampai-lupa-pentingnya-antibodi
2021-08-19,Awas Hoaks Setelah Divaksin Bisa Sebabkan Hasil Tes COVID-19 Positif,https://covid19.go.id/p/hoax-buster/awas-hoaks-setelah-divaksin-bisa-sebabkan-hasil-tes-covid-19-positif
2021-08-19,[SALAH] Masyarakat Suku Baduy Tidak Pernah Divaksin dalam Ratusan Tahun,https://covid19.go.id/p/hoax-buster/salah-masyarakat-suku-baduy-tidak-pernah-divaksin-dalam-ratusan-tahun
2021-08-18,Awas Hoaks: Tidak Boleh Konsumsi Makanan dan Minuman yang Mengandung Alkohol dan Soda setelah Vaksin COVID-19,https://covid19.go.id/p/hoax-buster/awas-hoaks-tidak-boleh-konsumsi-makanan-dan-minuman-yang-mengandung-alkohol-dan-soda-setelah-vaksin-covid-19
2021-08-17,[SALAH] Grab Berikan Bantuan Sembako Senilai Rp80 Ribu untuk Warga Surabaya,https://covid19.go.id/p/hoax-buster/salah-grab-berikan-bantuan-sembako-senilai-rp80-ribu-untuk-warga-surabaya
2021-08-16,Awas Hoaks: Bantuan Subsidi Upah Kemnaker Meminta Data Calon Penerima,https://covid19.go.id/p/hoax-buster/awas-hoaks-bantuan-subsidi-upah-kemnaker-meminta-data-calon-penerima
2021-08-15,[SALAH] Tidak Boleh Mengonsumsi Makanan dan Minuman yang Mengandung Alkohol dan Soda setelah Vaksin Covid-19,https://covid19.go.id/p/hoax-buster/salah-tidak-boleh-mengonsumsi-makanan-dan-minuman-yang-mengandung-alkohol-dan-soda-setelah-vaksin-covid-19
2021-08-15,Awas Hoaks: Penerbangan di AS Ditutup karena Kru dan Pilot Menolak Vaksin,https://covid19.go.id/p/hoax-buster/awas-hoaks-penerbangan-di-ditutup-karena-kru-dan-pilot-menolak-vaksin
